"A.M. Leigh",,,,
"Alan Butt-Philip",,,,
"Andy Merryfield",,,,
"Arnold Hilward Jones",,,,
"Arthur Lane Wills",,,,
"Beaumont Morice",,,,
"Charles Henry Whitlow",,,,
"Chris Briton",,,,
"Chris Inchley",,,,
"Colin Bex",,,,
"Cyril Morgan",,,,
"D.K. Pearce",,,,
"Dan Whittle",,,,
"Dave Dobbs","Q76509788","2019 United Kingdom general election","Wells","independent politician"
"Frank R. Thompson",,,,
"G. Livings",,,,
"G. Mortimer",,,,
"G.C.S. Hodgson",,,,
"Graham Oakes","Q98543849","2010 United Kingdom general election","Exeter","Liberal Democrats"
"Gypsy Watkins",,,,
"Helen Hims",,,,
"Humphrey Temperley",,,,
"Jake Baynes",,,,
"John Coleby Morland",,,,
"John Fish",,,,
"John G Cousins",,,,
"John Pilgrim",,,,
"Jon Antony A Evans",,,,
"Jon Cousins",,,,
"Kama McKenzie","Q76363702","2019 United Kingdom general election","Wells","Labour Party"
"Lorna Corke",,,,
"Lynn Royse",,,,
"Maxwell Bresler",,,,
"Mike Fenner",,,,
"P. Howard",,,,
"Patricia Phelps",,,,
"Paul Arnold",,,,
"Paul R Hobhouse",,,,
"Peter Gold",,,,
"Peter James",,,,
"R. D. Q. Davies",,,,
"Reginald George White",,,,
"Richard Boyce",,,,
"Robert Edmund Dickinson",,,,
"Steve Reed","Q7613711","2019 United Kingdom general election","Croydon North","Labour Co-operative"
"Susie Quatermass","Q75996294","2019 United Kingdom general election","Wells","Motherworld Party"
"Wilfred Thomas Young",,,,
"William Fedde J Pinching",,,,
"William James Waring",,,,
